tot nodes,start_node,end_node,preprocessing_time (ms),execution_time (ms),explored_nodes,space_occupation (Byte),space_preprocessing (Byte),space_query (Byte),path_weight
5000,4102,4537,558604.4640541077,0.8008480072021484,74,7277848,6465616,812232,17
5000,758,1921,558604.4640541077,0.579833984375,18,7280272,6465616,814656,-1
5000,2183,2857,558604.4640541077,0.7429122924804688,52,7278208,6465616,812592,20
5000,2112,127,558604.4640541077,0.5817413330078125,17,7280320,6465616,814704,-1
5000,4405,4516,558604.4640541077,0.8330345153808594,108,7278136,6465616,812520,54
5000,3036,341,558604.4640541077,0.9551048278808594,157,7277008,6465616,811392,-1
5000,934,1535,558604.4640541077,1.0690689086914062,186,7276336,6465616,810720,24
5000,619,4177,558604.4640541077,0.8139610290527344,90,7277896,6465616,812280,42
5000,26,49,558604.4640541077,0.579833984375,19,7280248,6465616,814632,-1
5000,2019,1128,558604.4640541077,0.9701251983642578,147,7277464,6465616,811848,45
5000,3053,3909,558604.4640541077,0.9372234344482422,119,7276600,6465616,810984,32
5000,2936,3813,558604.4640541077,1.8079280853271484,435,7271008,6465616,805392,42
5000,4190,2483,558604.4640541077,0.7240772247314453,78,7278904,6465616,813288,-1
5000,199,3102,558604.4640541077,0.6897449493408203,62,7279216,6465616,813600,-1
5000,2491,2082,558604.4640541077,0.7700920104980469,68,7278136,6465616,812520,28
5000,4822,2402,558604.4640541077,0.6139278411865234,31,7279960,6465616,814344,-1
5000,2339,2611,558604.4640541077,0.5450248718261719,5,7280608,6465616,814992,-1
5000,103,2826,558604.4640541077,0.8988380432128906,107,7276840,6465616,811224,27
5000,2169,3472,558604.4640541077,1.529693603515625,352,7272712,6465616,807096,50
5000,3881,2220,558604.4640541077,0.8568763732910156,109,7277656,6465616,812040,51
5000,3988,1966,558604.4640541077,0.9562969207763672,156,7277200,6465616,811584,24
5000,4953,1281,558604.4640541077,1.0669231414794922,172,7275880,6465616,810264,35
5000,262,680,558604.4640541077,0.7586479187011719,87,7278664,6465616,813048,18
5000,3902,293,558604.4640541077,0.9660720825195312,130,7276312,6465616,810696,35
5000,3068,1259,558604.4640541077,0.9019374847412109,104,7277080,6465616,811464,35
5000,4564,163,558604.4640541077,0.7429122924804688,65,7278160,6465616,812544,29
5000,4923,4897,558604.4640541077,0.9589195251464844,157,7277080,6465616,811464,-1
5000,4913,1761,558604.4640541077,0.80108642578125,100,7278376,6465616,812760,24
5000,1897,3525,558604.4640541077,0.6709098815917969,42,7279048,6465616,813432,18
5000,3663,4138,558604.4640541077,0.9479522705078125,110,7275952,6465616,810336,35
5000,249,2047,558604.4640541077,0.8609294891357422,94,7277656,6465616,812040,33
5000,3670,1654,558604.4640541077,0.965118408203125,156,7277080,6465616,811464,-1
5000,935,2143,558604.4640541077,0.9911060333251953,138,7277464,6465616,811848,60
5000,2545,1697,558604.4640541077,1.0418891906738281,130,7276096,6465616,810480,36
5000,1704,843,558604.4640541077,0.9920597076416016,142,7277440,6465616,811824,-1
5000,488,38,558604.4640541077,1.4290809631347656,241,7275088,6465616,809472,-1
5000,904,1513,558604.4640541077,0.6880760192871094,40,7279312,6465616,813696,26
5000,2055,3756,558604.4640541077,0.7028579711914062,57,7279360,6465616,813744,-1
5000,2012,3084,558604.4640541077,0.7328987121582031,65,7279288,6465616,813672,-1
5000,780,1524,558604.4640541077,0.8449554443359375,83,7277512,6465616,811896,37
5000,2969,1117,558604.4640541077,0.9489059448242188,117,7276672,6465616,811056,37
5000,3968,4170,558604.4640541077,0.7832050323486328,71,7278184,6465616,812568,22
5000,2407,3151,558604.4640541077,0.6821155548095703,37,7278640,6465616,813024,15
5000,4972,3480,558604.4640541077,0.8411407470703125,88,7278664,6465616,813048,39
5000,3433,3273,558604.4640541077,1.3420581817626953,198,7276120,6465616,810504,21
5000,4799,1929,558604.4640541077,1.5690326690673828,113,7278064,6465616,812448,-1
5000,4570,355,558604.4640541077,0.911712646484375,41,7279720,6465616,814104,49
5000,639,1135,558604.4640541077,1.0170936584472656,137,7277512,6465616,811896,-1
5000,688,2545,558604.4640541077,0.6859302520751953,17,7279816,6465616,814200,9
5000,4000,2862,558604.4640541077,1.3840198516845703,239,7275184,6465616,809568,16
5000,2621,4838,558604.4640541077,1.4221668243408203,214,7275784,6465616,810168,-1
